Product ID,Positive,Negative,Neutral
B003VTN95K,100.00%,0.00%,0.00%
B007DJ0O9I,50.00%,50.00%,0.00%
B00469VSJI,33.33%,66.67%,0.00%
B002SRAU80,100.00%,0.00%,0.00%
B0067LDV66,100.00%,0.00%,0.00%
B000HKYP9A,62.50%,0.00%,37.50%
B00067AD4U,100.00%,0.00%,0.00%
B0029OWDAU,100.00%,0.00%,0.00%
B000SEJ84M,100.00%,0.00%,0.00%
B001LMNXFA,100.00%,0.00%,0.00%
B002J2DO8W,100.00%,0.00%,0.00%
B000U9V5AU,100.00%,0.00%,0.00%
B001SB099M,100.00%,0.00%,0.00%
B0041QJSJS,80.00%,20.00%,0.00%
B00437JI8Q,100.00%,0.00%,0.00%
B002O3VHXU,100.00%,0.00%,0.00%
B0057FTBYO,100.00%,0.00%,0.00%
B0087HW5E2,100.00%,0.00%,0.00%
B003YXWAF8,66.67%,16.67%,16.67%
B000UXA3L8,100.00%,0.00%,0.00%
B004AVYUOW,100.00%,0.00%,0.00%
B001ESOQAM,100.00%,0.00%,0.00%
B001ESOQA2,100.00%,0.00%,0.00%
B003XT4AV0,50.00%,50.00%,0.00%
B001FA1MCO,50.00%,50.00%,0.00%
B001ELL6O8,66.67%,22.22%,11.11%
B006CGURWM,0.00%,100.00%,0.00%
B00250I0EG,100.00%,0.00%,0.00%
B000C21OOM,100.00%,0.00%,0.00%
B003D4O92K,100.00%,0.00%,0.00%
B001IZM8A6,100.00%,0.00%,0.00%
B0089PI9OC,100.00%,0.00%,0.00%
B00061KYVI,100.00%,0.00%,0.00%
B003XV5LHK,100.00%,0.00%,0.00%
B005WU7V00,100.00%,0.00%,0.00%
B005CFC9XY,100.00%,0.00%,0.00%
B000SEJ842,0.00%,100.00%,0.00%
B004X8TK8I,100.00%,0.00%,0.00%
B000G6RYNE,74.19%,17.97%,7.83%
B001EPPFGO,100.00%,0.00%,0.00%
B007F96QQQ,100.00%,0.00%,0.00%
B002HQH04O,100.00%,0.00%,0.00%
B0025Z7CGI,100.00%,0.00%,0.00%
B007SESJWC,100.00%,0.00%,0.00%
B001EPPCNK,100.00%,0.00%,0.00%
B002U56JXU,100.00%,0.00%,0.00%
B002BCD2OG,95.00%,5.00%,0.00%
B00112B9T2,100.00%,0.00%,0.00%
B000G6MBX2,88.46%,9.62%,1.92%
B001F33UPI,100.00%,0.00%,0.00%
B008BEGP9W,100.00%,0.00%,0.00%
B002U56JXK,100.00%,0.00%,0.00%
B007P2PSKS,0.00%,0.00%,100.00%
B004A8QK98,50.00%,50.00%,0.00%
B001HTKZ5S,0.00%,100.00%,0.00%
B001BB3LW6,100.00%,0.00%,0.00%
B005Y0DXBO,100.00%,0.00%,0.00%
B001LO4ZWI,50.00%,50.00%,0.00%
B000QWXG9O,0.00%,0.00%,100.00%
B000Y2EJHY,100.00%,0.00%,0.00%
B004WJAUBE,0.00%,100.00%,0.00%
B0035YE9CS,100.00%,0.00%,0.00%
B006JWQFC0,50.00%,50.00%,0.00%
B009HINRX8,83.33%,0.00%,16.67%
B0016J4QKO,100.00%,0.00%,0.00%
B001EPPE42,0.00%,100.00%,0.00%
B000NF69ZM,100.00%,0.00%,0.00%
B005YNDIAW,100.00%,0.00%,0.00%
B005MZIJBU,0.00%,100.00%,0.00%
B002KXDK48,100.00%,0.00%,0.00%
B001FKQQDO,0.00%,0.00%,100.00%
B000WFM204,100.00%,0.00%,0.00%
B007ZENY5W,100.00%,0.00%,0.00%
B002ONIVX4,100.00%,0.00%,0.00%
B002GUWBMC,0.00%,100.00%,0.00%
B0018DQFPC,44.44%,44.44%,11.11%
B000UZMJZO,50.00%,50.00%,0.00%
B00285FF6O,75.00%,0.00%,25.00%
B0067R3Q9M,100.00%,0.00%,0.00%
B004S0AQHA,50.00%,0.00%,50.00%
B0030C9A60,100.00%,0.00%,0.00%
B004ET7MG8,60.00%,20.00%,20.00%
B003AO5DLO,100.00%,0.00%,0.00%
B0007NG56I,100.00%,0.00%,0.00%
B001EQ55BI,100.00%,0.00%,0.00%
B000IXUISS,0.00%,100.00%,0.00%
B001ELL9X6,88.89%,0.00%,11.11%
B000UWSQT0,60.00%,20.00%,20.00%
B0041CKRJC,75.00%,0.00%,25.00%
B0007NG568,80.00%,20.00%,0.00%
B000VKYKTG,81.25%,12.50%,6.25%
B000HDMUQ2,65.00%,30.00%,5.00%
B0041QIHC2,100.00%,0.00%,0.00%
B001ELL9XG,66.67%,33.33%,0.00%
B002DXZI40,100.00%,0.00%,0.00%
B000ER6YO0,67.35%,16.33%,16.33%
B003KDCJYY,100.00%,0.00%,0.00%
B000MTIYF2,100.00%,0.00%,0.00%
B002E0RIHM,100.00%,0.00%,0.00%
B000S806VM,70.00%,30.00%,0.00%
B000YT5DBS,0.00%,100.00%,0.00%
B005NEXK6Y,66.67%,0.00%,33.33%
B00448SNSA,0.00%,100.00%,0.00%
B0002XIB2Y,100.00%,0.00%,0.00%
B000F0G75W,100.00%,0.00%,0.00%
B001EQ4DVQ,100.00%,0.00%,0.00%
B004DTNJU2,100.00%,0.00%,0.00%
B00473OV2E,100.00%,0.00%,0.00%
B0048IACB2,100.00%,0.00%,0.00%
B006F2NYI2,84.62%,15.38%,0.00%
B004A8VV42,100.00%,0.00%,0.00%
B002XG21MO,83.33%,0.00%,16.67%
B006GK4XVA,0.00%,0.00%,100.00%
B0049UVNYY,0.00%,0.00%,100.00%
B0062KYM9C,0.00%,100.00%,0.00%
B0002MKFEM,100.00%,0.00%,0.00%
B0040TPNO0,100.00%,0.00%,0.00%
B0048IK8UC,0.00%,100.00%,0.00%
B000LRG11O,100.00%,0.00%,0.00%
B001E6KBSK,85.71%,10.71%,3.57%
B0017SRF52,100.00%,0.00%,0.00%
B001HTKS1Y,66.67%,0.00%,33.33%
B000FL08PG,50.00%,50.00%,0.00%
B0018AMWES,66.67%,33.33%,0.00%
B001TZSDJK,50.00%,50.00%,0.00%
B000CQG862,100.00%,0.00%,0.00%
B001SAX7Z6,100.00%,0.00%,0.00%
B000XB80CG,0.00%,0.00%,100.00%
B001GCVLXG,66.67%,33.33%,0.00%
B0017ZBPTW,75.00%,0.00%,25.00%
B001QXUTLU,50.00%,50.00%,0.00%
B004XDMS3C,0.00%,100.00%,0.00%
B0043PU4VS,100.00%,0.00%,0.00%
B001GE3T1G,100.00%,0.00%,0.00%
B0035Q0N0I,100.00%,0.00%,0.00%
B0028PDGQA,100.00%,0.00%,0.00%
B003UY9GTE,100.00%,0.00%,0.00%
B006WVH7NE,0.00%,100.00%,0.00%
B0030N5K1I,0.00%,75.00%,25.00%
B004FD13RW,66.67%,0.00%,33.33%
B0025ULYKI,65.22%,26.09%,8.70%
B003UDV9SG,100.00%,0.00%,0.00%
B00469VHRG,100.00%,0.00%,0.00%
B002N2XXUC,100.00%,0.00%,0.00%
B0028SWACS,80.00%,0.00%,20.00%
B001KVLDBI,100.00%,0.00%,0.00%
B000UUYOPW,0.00%,100.00%,0.00%
B003UDSXU8,100.00%,0.00%,0.00%
B002OHOC6A,81.82%,9.09%,9.09%
B002NVPPHC,100.00%,0.00%,0.00%
B001ELL7JM,75.00%,25.00%,0.00%
B004SR97LO,100.00%,0.00%,0.00%
B004OHKJWE,0.00%,100.00%,0.00%
B0017WFN4S,100.00%,0.00%,0.00%
B004134H9W,33.33%,66.67%,0.00%
B007NWPB70,50.00%,0.00%,50.00%
B000084E1U,100.00%,0.00%,0.00%
B003JNWQPC,0.00%,100.00%,0.00%
B001DR488E,100.00%,0.00%,0.00%
B004IF3TAQ,50.00%,25.00%,25.00%
B000IUOBMA,0.00%,100.00%,0.00%
B001HTI226,80.00%,0.00%,20.00%
B004XRJ1W4,100.00%,0.00%,0.00%
B004MTMYNQ,100.00%,0.00%,0.00%
B00283V4GQ,66.67%,27.78%,5.56%
B000JWEEB0,66.67%,33.33%,0.00%
B005J4ZMR8,100.00%,0.00%,0.00%
B008L19ZQ0,100.00%,0.00%,0.00%
B00845LR4G,0.00%,0.00%,100.00%
B005O072PC,78.57%,7.14%,14.29%
B006QFTT4Q,100.00%,0.00%,0.00%
B000K296BW,0.00%,50.00%,50.00%
B002G8N4ZW,100.00%,0.00%,0.00%
B000OK7UDG,50.00%,50.00%,0.00%
B002483RNI,100.00%,0.00%,0.00%
B00002Z754,100.00%,0.00%,0.00%
B001209QMU,100.00%,0.00%,0.00%
B001FA1L7K,100.00%,0.00%,0.00%
B004QXELMK,100.00%,0.00%,0.00%
B0045TK2ZK,0.00%,100.00%,0.00%
B002T62G7S,50.00%,0.00%,50.00%
B002CTJG02,100.00%,0.00%,0.00%
B001FA1L7A,100.00%,0.00%,0.00%
B003O7A70Y,100.00%,0.00%,0.00%
B000LKZTSC,100.00%,0.00%,0.00%
B007237380,100.00%,0.00%,0.00%
B000WNJ73Q,95.45%,4.55%,0.00%
B002WJYCR4,100.00%,0.00%,0.00%
B001FA1L7U,71.43%,28.57%,0.00%
B000FAMUO4,100.00%,0.00%,0.00%
B003MCEV0I,100.00%,0.00%,0.00%
B002ULEFYE,100.00%,0.00%,0.00%
B00110GBII,100.00%,0.00%,0.00%
B004EKO2HE,72.73%,27.27%,0.00%
B000VX9XFE,100.00%,0.00%,0.00%
B00126EQBU,100.00%,0.00%,0.00%
B008MMLXEK,100.00%,0.00%,0.00%
B002TM37RU,100.00%,0.00%,0.00%
B000I5DJVE,66.67%,16.67%,16.67%
B000ODRY9I,87.50%,12.50%,0.00%
B001JTCPE0,100.00%,0.00%,0.00%
B003Y0ZJUE,100.00%,0.00%,0.00%
B0046HFHD8,50.00%,0.00%,50.00%
B005151BV6,100.00%,0.00%,0.00%
B0006GWXYY,100.00%,0.00%,0.00%
B007KDXVII,100.00%,0.00%,0.00%
B0013JQON4,100.00%,0.00%,0.00%
B001HTN94C,100.00%,0.00%,0.00%
B00068PCTU,91.18%,2.94%,5.88%
B001EO7GAI,53.85%,30.77%,15.38%
B005CV7TOC,100.00%,0.00%,0.00%
B0043H35N0,100.00%,0.00%,0.00%
B005LURDB8,50.00%,0.00%,50.00%
B00061NJ06,100.00%,0.00%,0.00%
B0025VPBQ0,0.00%,100.00%,0.00%
B0000VLH8S,80.00%,20.00%,0.00%
B001E50UEQ,40.00%,20.00%,40.00%
B003OB2EP6,71.43%,14.29%,14.29%
B006ZLAH4M,100.00%,0.00%,0.00%
B004S4V9Y0,100.00%,0.00%,0.00%
B001EO7E2I,100.00%,0.00%,0.00%
B0040WHJQM,57.14%,14.29%,28.57%
B002BKTWL0,100.00%,0.00%,0.00%
B0041T6KT6,100.00%,0.00%,0.00%
B009UOFU20,0.00%,100.00%,0.00%
B001IB69B4,100.00%,0.00%,0.00%
B00132EDUW,75.00%,0.00%,25.00%
B000GULKW6,100.00%,0.00%,0.00%
B00032EZRY,100.00%,0.00%,0.00%
B000YZTAS4,100.00%,0.00%,0.00%
B000LRFZE8,0.00%,100.00%,0.00%
B0004MUZKO,100.00%,0.00%,0.00%
B000WFL0HK,0.00%,100.00%,0.00%
B000F7PW8S,50.00%,50.00%,0.00%
B002JLT6QC,66.67%,0.00%,33.33%
B002KGN4LE,100.00%,0.00%,0.00%
B003UIDAHY,92.86%,0.00%,7.14%
B001LQNX8S,71.43%,28.57%,0.00%
B000E1HUEE,66.67%,33.33%,0.00%
B0045TDE4Q,80.00%,20.00%,0.00%
B000KM7DVC,100.00%,0.00%,0.00%
B00116629A,100.00%,0.00%,0.00%
B000E7WM0K,42.86%,28.57%,28.57%
B000E7WM0U,100.00%,0.00%,0.00%
B0052BRVTK,100.00%,0.00%,0.00%
B001EU5S9S,100.00%,0.00%,0.00%
B00443YFCS,0.00%,100.00%,0.00%
B0009QWTMM,0.00%,100.00%,0.00%
B001CWZXIY,93.33%,6.67%,0.00%
B001RVFDOO,82.95%,7.87%,9.18%
B005FG6KZ8,100.00%,0.00%,0.00%
B0016PKA1C,34.78%,52.17%,13.04%
B000F4EU52,33.33%,44.44%,22.22%
B005ATI9EU,0.00%,100.00%,0.00%
B001HBTGI8,73.33%,20.00%,6.67%
B00473VNHK,50.00%,50.00%,0.00%
B004H4R0YO,100.00%,0.00%,0.00%
B001FQ0UEE,83.33%,16.67%,0.00%
B000X61Y60,80.00%,0.00%,20.00%
B0017165OG,0.00%,0.00%,100.00%
B000OR0WFM,100.00%,0.00%,0.00%
B005HGAVGA,16.67%,83.33%,0.00%
B003FA0M1O,66.67%,0.00%,33.33%
B000F52NU0,80.00%,0.00%,20.00%
B001E5E29A,80.68%,9.09%,10.23%
B005HGAVGK,26.67%,53.33%,20.00%
B003NRLKOM,100.00%,0.00%,0.00%
B007POA176,66.67%,0.00%,33.33%
B0001OINNQ,100.00%,0.00%,0.00%
B000EPP56U,93.33%,6.67%,0.00%
B00061EXBU,80.00%,20.00%,0.00%
B0064MEUS6,0.00%,100.00%,0.00%
B000EGX2E6,50.00%,0.00%,50.00%
B0017OV6LA,100.00%,0.00%,0.00%
B003SQ9WHA,100.00%,0.00%,0.00%
B004ET9OIW,86.67%,6.67%,6.67%
B001HTG9VW,100.00%,0.00%,0.00%
B002BB7EWI,87.50%,0.00%,12.50%
B004K6781Y,66.67%,33.33%,0.00%
B000N5XCPM,57.14%,28.57%,14.29%
B004HOSHU0,100.00%,0.00%,0.00%
B000LKTDNE,100.00%,0.00%,0.00%
B002SW7ZOW,72.73%,18.18%,9.09%
B000QUZ9LO,100.00%,0.00%,0.00%
B000EPP56K,55.56%,33.33%,11.11%
B008YAXFWI,100.00%,0.00%,0.00%
B001FPT2MG,100.00%,0.00%,0.00%
B000LRKO9E,100.00%,0.00%,0.00%
B002RKGEII,83.33%,16.67%,0.00%
B0007T3V82,57.14%,42.86%,0.00%
B002C4HZ00,44.44%,48.15%,7.41%
B000ARTNR4,33.33%,44.44%,22.22%
B002WUQUIC,100.00%,0.00%,0.00%
B0000DC5IY,0.00%,100.00%,0.00%
B001HKZDYU,100.00%,0.00%,0.00%
B003NZH3VS,33.33%,66.67%,0.00%
B003HG6U3A,100.00%,0.00%,0.00%
B000E1HVF2,100.00%,0.00%,0.00%
B001CWZXW0,100.00%,0.00%,0.00%
B0052GPN0O,100.00%,0.00%,0.00%
B00182I57O,100.00%,0.00%,0.00%
B0016D2MY2,100.00%,0.00%,0.00%
B003YMAET8,50.00%,0.00%,50.00%
B005QSIQKC,100.00%,0.00%,0.00%
B002MB2J6I,66.67%,16.67%,16.67%
B003WWJ8LA,0.00%,100.00%,0.00%
B0001VWE02,0.00%,100.00%,0.00%
B004NC7IFQ,66.67%,0.00%,33.33%
B00176AIDU,50.00%,50.00%,0.00%
B007930DZS,100.00%,0.00%,0.00%
B0002Z9BF8,85.71%,14.29%,0.00%
B0001VWE0M,0.00%,100.00%,0.00%
B0032JKWGI,92.31%,7.69%,0.00%
B0001VWE0C,0.00%,100.00%,0.00%
B0009FHDB0,100.00%,0.00%,0.00%
B000E5C1YE,100.00%,0.00%,0.00%
B0001FQVCK,80.00%,20.00%,0.00%
B002SOR6VM,100.00%,0.00%,0.00%
B002R6X1K6,100.00%,0.00%,0.00%
B006GV6O34,100.00%,0.00%,0.00%
B001L4NJ1G,100.00%,0.00%,0.00%
B004VLVK4E,100.00%,0.00%,0.00%
B000SAPUUC,50.00%,50.00%,0.00%
B00637N4H0,100.00%,0.00%,0.00%
B001LQTDBE,50.00%,33.33%,16.67%
B00196U7OI,85.71%,0.00%,14.29%
B0000CGFV4,100.00%,0.00%,0.00%
B0089SPDUW,89.86%,4.35%,5.80%
B002JX7GVM,54.29%,25.71%,20.00%
B003ZRHYU4,100.00%,0.00%,0.00%
B0027IQC5K,88.89%,11.11%,0.00%
B001ZWIRKW,100.00%,0.00%,0.00%
B001EO6AWS,50.00%,0.00%,50.00%
B000EIE7GQ,75.00%,25.00%,0.00%
B0004MZVIA,100.00%,0.00%,0.00%
B003LKLK3C,100.00%,0.00%,0.00%
B000EH2AMA,100.00%,0.00%,0.00%
B0079LSXQ6,100.00%,0.00%,0.00%
B000RUI0MS,57.14%,28.57%,14.29%
B004332EMW,100.00%,0.00%,0.00%
B000NY4SZQ,100.00%,0.00%,0.00%
B000G7UDPY,33.33%,40.00%,26.67%
B000ED9LDU,88.46%,3.85%,7.69%
B000EGX2EG,76.92%,23.08%,0.00%
B00504SMY2,0.00%,0.00%,100.00%
B002HQVIUQ,100.00%,0.00%,0.00%
B002HTQBIC,100.00%,0.00%,0.00%
B000M0RW86,0.00%,0.00%,100.00%
B001IZKD1W,100.00%,0.00%,0.00%
B005BSQ56O,100.00%,0.00%,0.00%
B0015D8MOW,100.00%,0.00%,0.00%
B0016FY6H6,67.11%,26.32%,6.58%
B000SAPXSQ,70.00%,30.00%,0.00%
B00015BQB6,100.00%,0.00%,0.00%
B004Z8F1JI,50.00%,0.00%,50.00%
B002BXJRBW,0.00%,100.00%,0.00%
B002HQKRIK,100.00%,0.00%,0.00%
B000EPQPQE,100.00%,0.00%,0.00%
B003NDA970,65.67%,22.39%,11.94%
B004YUF9FS,100.00%,0.00%,0.00%
B00002NCJC,100.00%,0.00%,0.00%
B000J2DQ46,56.67%,26.67%,16.67%
B00408CX8A,100.00%,0.00%,0.00%
B000MBO4LI,33.33%,33.33%,33.33%
B0081D0CU6,0.00%,100.00%,0.00%
B003JH91RO,75.00%,25.00%,0.00%
B000F70Y7W,0.00%,0.00%,100.00%
B003TIUM5S,75.00%,0.00%,25.00%
B0085G4ACA,86.36%,11.36%,2.27%
B004DP0CXS,0.00%,100.00%,0.00%
B002BB8POY,100.00%,0.00%,0.00%
B000PSFKE8,66.67%,33.33%,0.00%
B001IZI8LE,100.00%,0.00%,0.00%
B007OXJLM4,92.86%,7.14%,0.00%
B000F9Z1WI,82.22%,11.11%,6.67%
B0042TR2WE,66.67%,33.33%,0.00%
B003Z9ZI1E,100.00%,0.00%,0.00%
B0002TJAZK,23.08%,61.54%,15.38%
B003XKKEBE,100.00%,0.00%,0.00%
B000H280KS,0.00%,100.00%,0.00%
B002GWME72,100.00%,0.00%,0.00%
B001GAJ7ZW,100.00%,0.00%,0.00%
B000HKJNKQ,50.00%,50.00%,0.00%
B005MHHAUY,100.00%,0.00%,0.00%
B0047LRBX2,100.00%,0.00%,0.00%
B001EQ5ILA,100.00%,0.00%,0.00%
B003120XGK,100.00%,0.00%,0.00%
B0005YYHQY,50.00%,50.00%,0.00%
B000GJQ8J2,100.00%,0.00%,0.00%
B003U97K4M,66.67%,33.33%,0.00%
B0071H5VTU,50.00%,50.00%,0.00%
B000LKU03G,63.64%,27.27%,9.09%
B0011X5S8Y,100.00%,0.00%,0.00%
B0009JI7O8,86.67%,13.33%,0.00%
B005UOJR50,100.00%,0.00%,0.00%
B000B2PDKY,100.00%,0.00%,0.00%
B002BERULK,100.00%,0.00%,0.00%
B000BRNQL2,100.00%,0.00%,0.00%
B000HNE1IM,0.00%,0.00%,100.00%
B001LDOFJ2,0.00%,0.00%,100.00%
B000VDNGIO,100.00%,0.00%,0.00%
B0025UALB6,100.00%,0.00%,0.00%
B001FA1KUS,66.67%,33.33%,0.00%
B000B9SFP2,88.89%,0.00%,11.11%
B0024T3HXM,100.00%,0.00%,0.00%
B002HQP4YC,100.00%,0.00%,0.00%
B0052OI128,75.00%,12.50%,12.50%
B0060OP9TM,0.00%,100.00%,0.00%
B0033D3NHS,100.00%,0.00%,0.00%
B000GPY38E,100.00%,0.00%,0.00%
B002V5KFNY,100.00%,0.00%,0.00%
B004NNFEA6,100.00%,0.00%,0.00%
B0000E65W9,100.00%,0.00%,0.00%
B003V1HH42,100.00%,0.00%,0.00%
B007GB7PB8,0.00%,0.00%,100.00%
B0005ZWBPC,100.00%,0.00%,0.00%
B0043JF3II,0.00%,100.00%,0.00%
B002SWR5VK,100.00%,0.00%,0.00%
B000EHZZMW,100.00%,0.00%,0.00%
B000FDKQCO,72.22%,11.11%,16.67%
B000P151AI,100.00%,0.00%,0.00%
B000GB7QXM,100.00%,0.00%,0.00%
B001SB1R7A,100.00%,0.00%,0.00%
B000GB7QXC,100.00%,0.00%,0.00%
B000EJLWZ4,100.00%,0.00%,0.00%
B001IZIC7E,81.82%,9.09%,9.09%
B003HAI9GW,50.00%,50.00%,0.00%
B004W8LIBQ,100.00%,0.00%,0.00%
B001TZOA5Q,100.00%,0.00%,0.00%
B004JQVASM,52.94%,29.41%,17.65%
B000FDKQCY,81.48%,7.41%,11.11%
B000HQR1HM,0.00%,0.00%,100.00%
B003OZYUEA,66.67%,22.22%,11.11%
B0001KL1Y8,100.00%,0.00%,0.00%
B000F7GK98,100.00%,0.00%,0.00%
B001LO4Y24,50.00%,50.00%,0.00%
B000LRIKZY,100.00%,0.00%,0.00%
B000FDKUSO,93.75%,6.25%,0.00%
B000LKXQ32,100.00%,0.00%,0.00%
B001YJ6M7Q,66.67%,16.67%,16.67%
B002GWMGOS,100.00%,0.00%,0.00%
B000084DVR,100.00%,0.00%,0.00%
B005K4Q1VI,72.22%,19.75%,8.02%
B005TY2REE,100.00%,0.00%,0.00%
B001NH40UA,100.00%,0.00%,0.00%
B000YPKODY,35.71%,42.86%,21.43%
B004P7JBMW,100.00%,0.00%,0.00%
B005ZHJI9C,100.00%,0.00%,0.00%
B000CMFMG8,100.00%,0.00%,0.00%
B000P5IWYG,66.67%,0.00%,33.33%
B00469LSMU,100.00%,0.00%,0.00%
B0001E3LBU,100.00%,0.00%,0.00%
B005KDJEJK,100.00%,0.00%,0.00%
B001HTI4TM,100.00%,0.00%,0.00%
B000GDAVXW,100.00%,0.00%,0.00%
B00762B7XY,0.00%,100.00%,0.00%
B004G8ZAS4,0.00%,50.00%,50.00%
B0092XAMDQ,100.00%,0.00%,0.00%
B0040PWYVO,62.50%,12.50%,25.00%
B0014DZQMO,100.00%,0.00%,0.00%
B0044UT0O4,88.89%,0.00%,11.11%
B004MDQSDO,100.00%,0.00%,0.00%
B000PWMHW2,100.00%,0.00%,0.00%
B003Y86ONM,0.00%,100.00%,0.00%
B004X8TK9W,80.00%,20.00%,0.00%
B006WW3GYC,50.00%,0.00%,50.00%
B001QEF4XC,100.00%,0.00%,0.00%
B000HQMNIO,100.00%,0.00%,0.00%
B001HTI5I2,50.00%,50.00%,0.00%
B000HDMW9M,100.00%,0.00%,0.00%
B000R1BPOC,100.00%,0.00%,0.00%
B004AGE1K0,100.00%,0.00%,0.00%
B0015D44KS,50.00%,50.00%,0.00%
B0009P82YM,100.00%,0.00%,0.00%
B000CS9ZTC,0.00%,100.00%,0.00%
B003CJJKDO,100.00%,0.00%,0.00%
B004SCD4NG,100.00%,0.00%,0.00%
B003MPKGKE,0.00%,50.00%,50.00%
B005RF029M,100.00%,0.00%,0.00%
B004C20NH2,100.00%,0.00%,0.00%
B00433ICSC,71.43%,14.29%,14.29%
B0080IP5RW,100.00%,0.00%,0.00%
B0010C0JYO,100.00%,0.00%,0.00%
B002LO0TUE,100.00%,0.00%,0.00%
B000YB7XQ4,100.00%,0.00%,0.00%
B000FDKQC4,45.00%,50.00%,5.00%
B000G33MVK,100.00%,0.00%,0.00%
B000ER1DIM,87.50%,12.50%,0.00%
B00113XJQW,100.00%,0.00%,0.00%
B0045IK1CK,36.84%,52.63%,10.53%
